resume_text,job_description,ats_score
"Experienced Python developer with Django skills.", "Looking for Python developer with Django.", 90
"Java developer with Spring Boot.", "Looking for Python developer.", 20
"Data Scientist with Python and ML skills.", "Need a Data Scientist with ML knowledge.", 95
"Frontend developer with React.", "Looking for React developer.", 85
"Project Manager with Agile.", "Need a Python developer.", 10
"Python and React fullstack engineer.", "Looking for Fullstack dev with Python and React.", 92
"Marketing specialist.", "Looking for Software Engineer.", 5
"Junior Python developer.", "Looking for Senior Python Developer.", 60
"C++ embedded systems engineer.", "Looking for Web Developer.", 15
"DevOps engineer with AWS and Docker.", "Looking for DevOps with Cloud skills.", 88
